nom_projet;arrond;date_fin_t;ope_statut;ope_type;ind_arb_plant;st_area_shape;geo_shape
Replantations écoles et crèches 2021-2022 - 15e ardt;15;2022-03-31T02:00:00+00:00;Réalisé;Arbre;3.0;312.5783014373687;"{""coordinates"": [[[2.3006553316217744, 48.84158256176928], [2.300670966421852, 48.84158140543436], [2.3006861628987347, 48.841577551712234], [2.300700459315162, 48.84157111769628], [2.300713421281755, 48.84156229888083], [2.3007246549557174, 48.84155136322112], [2.300733819007551, 48.84153864299165], [2.3007406349921777, 48.84152452469014], [2.3007448958093537, 48.84150943729404], [2.3007464719963058, 48.84149383922626], [2.3007453156613904, 48.84147820442618], [2.3007414619392588, 48.8414630079493], [2.300735027923308, 48.84144871153288], [2.3007262091078573, 48.84143574956628], [2.3007152734481506, 48.84142451589232], [2.3007025532186756, 48.84141535184049], [2.3006884349171672, 48.84140853585586], [2.300673347521073, 48.841404275038684], [2.300657749453289, 48.84140269885173], [2.3006421146532112, 48.84140385518665], [2.3006269181763286, 48.841407708908775], [2.3006126217599014, 48.84141414292473], [2.3005996597933085, 48.84142296174018], [2.300588426119346, 48.84143389739989], [2.3005792620675125, 48.84144661762936], [2.3005724460828856, 48.841460735930866], [2.3005681852657096, 48.84147582332697], [2.3005666090787575, 48.84149142139475], [2.300567765413673, 48.84150705619483], [2.3005716191358045, 48.84152225267171], [2.3005780531517552, 48.84153654908813], [2.300586871967206, 48.84154951105473], [2.3005978076269127, 48.84156074472869], [2.3006105278563878, 48.84156990878052], [2.300624646157896, 48.84157672476515], [2.3006397335539903, 48.841580985582326], [2.3006553316217744, 48.84158256176928]]], ""type"": ""Polygon""}"
ARB - TALUS BP 02-05;13;2024-03-29T01:00:00+00:00;Réalisé;Arbre;15.0;591.5055473839454;"{""coordinates"": [[[2.3641536444336424, 48.81680715758472], [2.3652336511158225, 48.81714347829595], [2.365074123798202, 48.817061494455196], [2.3647813616724034, 48.81695714012287], [2.3645889304275816, 48.81689900689157], [2.3644627962233487, 48.81684122575553], [2.364408771112677, 48.81678001983803], [2.3643239443666797, 48.81664440704143], [2.3642490702201804, 48.8166382978704], [2.3641536444336424, 48.81680715758472]]], ""type"": ""Polygon""}"
Replantations Alignement 2021-2022 - 12e ardt;12;2022-03-31T02:00:00+00:00;Réalisé;Arbre;129.0;163.05687591024216;"{""coordinates"": [[[2.3867118977951174, 48.84131667261868], [2.3868199017431726, 48.841472974796915], [2.3869721869119354, 48.84132337685062], [2.3867118977951174, 48.84131667261868]]], ""type"": ""Polygon""}"
Replantations écoles et crèches 2022-2023 - 17e ardt;17;2023-03-30T02:00:00+00:00;Réalisé;Arbre;17.0;61.33579948059435;"{""coordinates"": [[[2.3205742728675185, 48.8856418063168], [2.32060544242687, 48.88574939292716], [2.320716667561182, 48.8856506695659], [2.3205742728675185, 48.8856418063168]]], ""type"": ""Polygon""}"
Replantations écoles et crèches 2023-2024 - 07e ardt;7;2024-04-09T02:00:00+00:00;Réalisé;Arbre;4.0;177.98598751736594;"{""coordinates"": [[[2.311158652662046, 48.85689520451978], [2.31126702290347, 48.85671736211269], [2.311022547742313, 48.85671595474575], [2.311158652662046, 48.85689520451978]]], ""type"": ""Polygon""}"
Replantations Jardins 2023-2024 - 17e ardt;17;2024-04-09T02:00:00+00:00;Réalisé;Arbre;18.0;22.468631863632318;"{""coordinates"": [[[2.3220044374059223, 48.884876215540956], [2.322062931196337, 48.884817535354806], [2.321967660793789, 48.88481889975682], [2.3220044374059223, 48.884876215540956]]], ""type"": ""Polygon""}"
Replantations Jardins 2023-2024 - 18e ardt;18;2024-04-09T02:00:00+00:00;Réalisé;Arbre;9.0;32.495906547779114;"{""coordinates"": [[[2.344459201347792, 48.89193419898373], [2.344508977671247, 48.891861970736194], [2.3443990339598644, 48.89186136885565], [2.344459201347792, 48.89193419898373]]], ""type"": ""Polygon""}"
Bilan arbres du privé dans l'ardt - mai 2024;14;2024-05-02T02:00:00+00:00;Réalisé;Arbre;189.0;377.53288156329324;"{""coordinates"": [[[2.3268371647310944, 48.833187257120386], [2.327140780307348, 48.83312233643449], [2.326985442487354, 48.83297887323002], [2.3266809188015083, 48.83314473488942], [2.3268371647310944, 48.833187257120386]]], ""type"": ""Polygon""}"
Nouvelles plantations dans les cimetières 2023-2024 - Pantin;21;2024-03-29T01:00:00+00:00;Réalisé;Arbre;131.0;544.2782521491121;"{""coordinates"": [[[2.416700373790223, 48.902869667645504], [2.416911344004657, 48.90246619342979], [2.416582218971577, 48.90246268686588], [2.416700373790223, 48.902869667645504]]], ""type"": ""Polygon""}"
Création du Jardin du 21 avril 1944;18;2020-11-30T01:00:00+00:00;Réalisé;Nouvelle surface d’espaces verts;50.0;2079.9442515837027;"{""coordinates"": [[[2.3567750642991645, 48.89705060705292], [2.3578356461717513, 48.8970858035378], [2.357858871959327, 48.896841320850605], [2.3567967344750462, 48.89681563366377], [2.3567750642991645, 48.89705060705292]]], ""type"": ""Polygon""}"
COURS OASIS EM 31 RUE GODEFROY-CAVAIGNAC;11;2024-09-01T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;1.0;515.4945257516819;"{""coordinates"": [[[2.3805559265734644, 48.855861058909255], [2.380770285038232, 48.85565954050476], [2.3805095295736725, 48.85559977269478], [2.3803093936349797, 48.85578753950615], [2.3805559265734644, 48.855861058909255]]], ""type"": ""Polygon""}"
COURS OASIS EP 51 DAVOUT;20;2024-09-02T02:00:00+00:00;Réalisé;Végétalisation de l’espace public;6.0;2418.2646834649036;"{""coordinates"": [[[2.410709781344945, 48.8513847919976], [2.4108070450814876, 48.850774058069014], [2.410446226839878, 48.85072010399017], [2.4101563680772218, 48.85138206508691], [2.410709781344945, 48.8513847919976]]], ""type"": ""Polygon""}"
Replantations jardins 2021-2022 - 07e ardt;7;2022-03-31T02:00:00+00:00;Réalisé;Arbre;10.0;312.5684609745147;"{""coordinates"": [[[2.320114407828208, 48.85735240808908], [2.320130041671991, 48.857351245845166], [2.3201452361810206, 48.85734738646987], [2.320159529677829, 48.85734094722835], [2.3201724878617487, 48.85733212377371], [2.3201837170049178, 48.85732118420214], [2.320192875915504, 48.85730846090701], [2.3201996863046435, 48.85729434047917], [2.3202039412421085, 48.857279251960705], [2.320205511443777, 48.8572636538086], [2.3202043491998663, 48.85724801996482], [2.3202004898245696, 48.85723282545579], [2.320194050583052, 48.857218531958985], [2.320185227128408, 48.85720557377506], [2.3201742875568434, 48.85719434463189], [2.3201615642617037, 48.857185185721306], [2.3201474438338736, 48.85717837533217], [2.320132355315407, 48.8571741203947], [2.3201167571633032, 48.857172550193035], [2.32010112331952, 48.857173712436946], [2.3200859288104905, 48.857177571812244], [2.320071635313682, 48.85718401105376], [2.3200586771297624, 48.8571928345084], [2.3200474479865933, 48.85720377407997], [2.320038289076007, 48.857216497375106], [2.3200314786868677, 48.85723061780294], [2.3200272237494026, 48.85724570632141], [2.320025653547734, 48.85726130447351], [2.320026815791645, 48.85727693831729], [2.3200306751669415, 48.85729213282632], [2.3200371144084593, 48.85730642632313], [2.320045937863103, 48.85731938450705], [2.3200568774346677, 48.85733061365022], [2.3200696007298074, 48.857339772560806], [2.3200837211576375, 48.857346582949944], [2.320098809676104, 48.85735083788741], [2.320114407828208, 48.85735240808908]]], ""type"": ""Polygon""}"
Replantations Alignement 2021-2022 - 17e ardt;17;2022-03-31T02:00:00+00:00;Réalisé;Arbre;99.0;213.49957980433308;"{""coordinates"": [[[2.321717945629436, 48.88554415004699], [2.321727290132018, 48.88555710689453], [2.3217387341312823, 48.885568252947984], [2.3217519329228122, 48.88557725247735], [2.3217664889461407, 48.88558383440804], [2.3217819637596553, 48.88558780048587], [2.321797891246886, 48.88558903124873], [2.321813791656392, 48.885587489624825], [2.3218291860523372, 48.88558322204938], [2.3218436107405083, 48.88557635706592], [2.3218566312352364, 48.88556710145445], [2.321867855346526, 48.885555734003], [2.321876944993204, 48.885542597110295], [2.3218836263862515, 48.88552808647235], [2.321887698275596, 48.885512639163714], [2.321889038011961, 48.8854967204724], [2.321887605241181, 48.8854808098849], [2.3218834431197086, 48.885465386643624], [2.321876677014701, 48.88545091531163], [2.3218675107278353, 48.88543783177954], [2.32185622035661, 48.88542653013611], [2.321845716717402, 48.88541536948239], [2.3218334859724035, 48.88540613392583], [2.3218198764179445, 48.885399086468446], [2.3218052756148726, 48.88539442780149], [2.321790099351936, 48.88539229059035], [2.32177477980532, 48.885392735696655], [2.321759753231515, 48.88539575044504], [2.3217454475439916, 48.885401248984174], [2.3217322701274585, 48.88540907473153], [2.321720596236722, 48.88541900483239], [2.3217107583105108, 48.885430756506146], [2.3217030365045814, 48.885443995099024], [2.3216976507136895, 48.88545834361409], [2.321694754309621, 48.885473393447036], [2.321694429773608, 48.88548871602203], [2.3216966863475004, 48.88550387499635], [2.3217014597705834, 48.885518438686134], [2.321708614109539, 48.885531992359525], [2.321717945629436, 48.88554415004699]]], ""type"": ""Polygon""}"
PROLONGEMENT M11 - STATION PORTE DES LILAS;20;2023-03-31T02:00:00+00:00;Réalisé;Arbre;6.0;523.4931840881126;"{""coordinates"": [[[2.4081435600368057, 48.877444687613746], [2.4071310383368036, 48.87708175870378], [2.4070911789207856, 48.87713374129608], [2.4081069248628064, 48.87749208819394], [2.4081435600368057, 48.877444687613746]]], ""type"": ""Polygon""}"
