statut_pdc;arrondissement;nom_station;nbre_pdc;date_mise_en_service;coordonneesxy
En service;19e Arrondissement;Paris | Avenue de la Porte d'Aubervilliers 10;6;2021-11-23T16:21:03+00:00;48.899334, 2.371162
En service;18e Arrondissement;Paris | Avenue Rachel 1;5;2021-12-01T10:28:25+00:00;48.884415, 2.3305461
En service;18e Arrondissement;Paris | Rue Ramey 62;6;2021-12-01T10:24:22+00:00;48.891644, 2.344978
En service;17e Arrondissement;Paris | Avenue de Wagram 77;5;2021-11-23T16:29:42+00:00;48.88003, 2.2995074
En service;17e Arrondissement;Paris | boulevard Pereire 170;6;2021-11-23T16:26:33+00:00;48.882423, 2.2922037
En service;17e Arrondissement;Paris | Avenue de Niel 28;5;2021-11-23T16:28:10+00:00;48.88103, 2.2956283
En service;16e Arrondissement;Paris | Rue de la Pompe 137;7;2021-11-03T08:59:26+00:00;48.867313, 2.280347
En service;16e Arrondissement;Paris | Rue de la Pompe 137;7;2021-11-03T08:59:01+00:00;48.867313, 2.280347
En service;16e Arrondissement;Paris | Boulevard Delessert 23;7;2021-10-19T15:20:59+00:00;48.85857, 2.2851212
En service;16e Arrondissement;Paris | Boulevard Delessert 23;7;2021-10-19T15:20:00+00:00;48.85857, 2.2851212
En service;16e Arrondissement;Paris | Avenue Victor Hugo 18;6;2021-11-09T10:50:50+00:00;48.87244, 2.2915578
En service;15e Arrondissement;Paris | Boulevard Pasteur 41;5;2021-11-09T10:55:31+00:00;48.842644, 2.313266
En service;15e Arrondissement;Paris | Rue Mademoiselle 67;5;2021-11-25T12:50:00+00:00;48.84348, 2.2994812
En service;11e Arrondissement;Paris | Boulevard Richard Lenoir 110;6;2021-11-23T16:29:36+00:00;48.864063, 2.3713984
En service;11e Arrondissement;Paris | Boulevard Richard Lenoir 110;6;2021-11-23T16:29:21+00:00;48.864063, 2.3713984
En service;12e Arrondissement;Paris | Rue Claude Decaen 26;7;2021-10-12T15:22:05+00:00;48.83519, 2.4002905
En service;12e Arrondissement;Paris | Rue des Pirogues de Bercy 44;7;2021-10-12T15:27:41+00:00;48.833412, 2.388111
En service;12e Arrondissement;Paris | Rue des Pirogues de Bercy 44;7;2021-10-12T15:29:51+00:00;48.833412, 2.388111
En service;12e Arrondissement;Paris | Rue des Pirogues de Bercy 44;7;2021-10-12T15:28:07+00:00;48.833412, 2.388111
En service;11e Arrondissement;Paris | Avenue Ledru Rollin 104;5;2021-11-16T16:30:57+00:00;48.85189, 2.376434
En service;09e Arrondissement;Paris | boulevard Rochechouart 31;7;2021-11-16T16:38:35+00:00;48.882973, 2.345487
En service;07e Arrondissement;Paris | Rue Jean Nicot 10;4;2021-10-19T15:28:09+00:00;48.86113, 2.3069868
En service;07e Arrondissement;Paris | Rue de Grenelle  152;6;2021-10-29T08:52:24+00:00;48.85806, 2.310588
En service;05e Arrondissement;Paris | Rue Monge 112;5;2021-09-29T10:11:27+00:00;48.839275, 2.3507414
En service;05e Arrondissement;Paris | Rue Linnée 18;7;2021-10-06T15:31:27+00:00;48.845257, 2.3548336
En service;05e Arrondissement;Paris | Rue Henri Barbusse 25;6;2022-07-13T07:31:22+00:00;48.8415, 2.338973
En service;06e Arrondissement;Paris | Rue Péguy 2;6;2021-11-16T16:20:47+00:00;48.843006, 2.3280363
En service;Paris centre;Paris | Rue de Turenne 98;5;2021-10-12T15:33:50+00:00;48.86235, 2.3648512
En service;19e Arrondissement;Paris | Rue de Botzaris 16;6;2021-09-14T15:42:01+00:00;48.8769, 2.3812
En service;18e Arrondissement;Paris | Boulevard de Clichy 2;5;2021-09-14T14:17:49+00:00;48.8823, 2.3395
En service;16e Arrondissement;Paris | Boulevard Exelmans 77;4;2021-09-07T10:23:37+00:00;48.8433, 2.2595
En service;15e Arrondissement;Paris | Rue Beaugrenelle 4;6;2021-09-01T07:56:20+00:00;48.8479, 2.2847
En service;16e Arrondissement;Paris | Avenue Mozart 68;6;2021-09-21T13:16:53+00:00;48.8534, 2.2685
En service;19e Arrondissement;Paris |  Rue Botzaris 50;7;2021-08-26T13:54:12+00:00;48.8792, 2.3839
En service;18e Arrondissement;Paris | Rue Marcadet 150;7;2021-08-05T09:07:09+00:00;48.8913, 2.3385
En service;19e Arrondissement;Paris | Rue d'Aubervilliers 126;7;2021-08-05T08:56:48+00:00;48.8917, 2.3691
