CLASSE_VEHICULE,CATEGORIE_VEHICULE,CARBURANT,CRITAIR,PARC_2014,PARC_2015,PARC_2016,PARC_2017,PARC_2018,PARC_2019,PARC_2020,PARC_2021,PARC_2022,COMMUNE_CODE,COMMUNE_LIBELLE
vp,Véhicule particulier,Essence HNR,Crit'Air 2,34,33,33,32,36,33,29,26,28,75117,Paris 17e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 3,1,1,1,0,0,0,0,0,0,75117,Paris 17e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,155,126,120,116,117,106,96,113,120,75117,Paris 17e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 3,0,0,0,0,0,0,0,0,0,75117,Paris 17e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,17,20,16,14,15,11,5,6,6,75117,Paris 17e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Inconnu,0,0,0,0,0,0,1,1,1,75117,Paris 17e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,3693,4278,4712,5132,5578,5814,5915,5947,5586,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,5276,5120,4996,4894,4652,4517,4278,4080,3738,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,3996,3987,3784,3528,3235,2886,2338,1960,1602,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,1533,1463,1307,1100,897,730,551,410,332,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,1715,1442,1153,883,642,435,274,210,201,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,17,33,54,60,62,66,73,82,91,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,53,53,55,73,93,112,144,232,395,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,6,9,20,28,50,71,153,217,384,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Non classé,0,0,1,1,1,1,1,1,1,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,2271,2798,3449,4199,5024,5922,6772,8050,8602,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,3712,3662,3633,3469,3366,3215,3074,3034,2863,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,6774,6505,6058,5524,5015,4435,3970,3615,3174,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Essence,Non classé,4449,3867,3306,2668,2156,1772,1464,1217,1097,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,93,149,243,298,402,505,627,846,1204,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,11,11,12,11,9,13,13,11,15,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,159,147,141,141,139,123,126,141,160,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 2,0,0,0,0,0,0,0,0,0,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,26,19,13,11,8,9,9,7,7,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Inconnu,0,0,0,0,0,1,1,1,1,75118,Paris 18e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,5813,6974,7781,8479,9447,9818,9333,8760,7954,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,6444,6320,6171,5945,5744,5400,5154,4912,4466,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,4682,4654,4417,4241,3853,3383,2733,2229,1798,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,1713,1606,1381,1207,1011,805,576,423,343,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,1909,1613,1284,998,709,493,268,200,155,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,24,47,86,103,98,116,108,114,126,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,90,90,87,105,126,152,184,290,467,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Non classé,0,0,0,0,0,0,0,0,0,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,8,12,22,41,57,88,132,204,328,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,2705,3222,3907,4954,5940,6850,8099,9502,10221,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,4327,4307,4168,4072,3909,3728,3689,3612,3389,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,7427,6988,6543,6034,5550,4995,4396,3921,3367,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Essence,Non classé,4211,3620,3107,2450,1922,1513,1206,982,906,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,133,220,336,456,602,917,1089,1411,1712,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,19,20,19,23,22,20,20,21,22,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,168,156,150,145,138,137,136,166,189,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 3,1,0,0,0,0,0,0,0,0,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,20,14,12,11,11,10,8,10,10,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Inconnu,1,1,1,0,0,0,1,1,0,75119,Paris 19e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 2,4041,4700,5354,6199,6439,6639,6754,6848,6592,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 3,6351,6249,6189,6166,5959,5694,5361,5027,4536,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 4,4745,4672,4490,4280,3866,3313,2627,2102,1724,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Diesel,Crit'Air 5,1770,1646,1483,1296,1032,788,570,414,341,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Diesel,Non classé,1946,1650,1341,1055,762,522,323,243,210,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Diesel HNR,Crit'Air 2,47,58,130,136,118,123,119,127,141,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Hybride rechargeable,Crit'Air 1,81,82,83,82,111,123,146,231,381,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Crit'Air E,8,10,17,34,45,65,90,213,330,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Electrique et hydrogène,Non classé,1,1,1,0,0,0,0,0,0,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 1,2742,3437,4199,5172,6266,7362,8582,9745,10390,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 2,4536,4470,4403,4264,4139,4003,3906,3903,3709,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Essence,Crit'Air 3,8413,8031,7530,6954,6271,5595,4973,4415,3854,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Essence,Non classé,4923,4237,3573,2845,2265,1821,1467,1244,1102,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 1,112,205,315,431,563,730,869,1291,1569,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Essence HNR,Crit'Air 2,22,28,28,20,25,25,23,22,22,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 1,193,182,199,203,194,189,184,192,233,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 2,0,0,0,1,1,0,0,0,0,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Crit'Air 3,0,0,1,0,0,0,0,0,0,75120,Paris 20e Arrondissement
vp,Véhicule particulier,Gaz et inconnu,Non classé,22,19,18,15,13,9,6,5,1,75120,Paris 20e Arrondissement
