TIME_PERIOD;AGE;OBS_VALUE_NIVEAU
2024;Y_GE95;8314.0
2021;Y20T24;167273.0
2021;Y50T54;131573.0
2023;Y70T74;95809.0
2017;Y_GE95;5806.0
2019;Y45T49;142969.0
2024;Y_GE75;193409.0
2018;Y90T94;18629.0
2024;Y70T74;92056.0
2023;_T;2092813.0
2014;Y_LT5;117539.0
2017;_T;2187526.0
2022;Y55T59;126164.0
2014;Y65T69;106490.0
2017;Y85T89;34908.0
2024;Y_LT20;364419.0
2019;Y_GE75;170196.0
2019;Y65T69;105292.0
2019;Y80T84;47813.0
2023;Y60T64;110726.0
2023;Y_LT20;375695.0
2022;Y15T19;112363.0
2016;Y_GE75;167172.0
2018;Y25T29;226530.0
2022;Y35T39;146929.0
2015;Y40T44;155523.0
2024;Y10T14;91965.0
2021;Y90T94;18445.0
2015;Y75T79;60430.0
2015;Y_LT5;114042.0
2023;Y40T44;133660.0
2023;Y35T39;147174.0
2016;Y90T94;18138.0
2020;Y10T14;96773.0
2020;Y90T94;18884.0
2017;Y90T94;18879.0
2024;Y20T24;171947.0
2014;Y40T44;157212.0
2021;Y55T59;127981.0
2014;Y80T84;50694.0
2024;Y40T59;509690.0
2015;Y25T29;216813.0
2019;Y90T94;18450.0
2024;Y25T29;198796.0
2023;Y30T34;188678.0
2021;Y60T74;313346.0
2018;Y15T19;114907.0
2019;Y30T34;190777.0
2022;Y40T44;135711.0
2020;Y_GE95;7147.0
2023;Y90T94;18728.0
2020;Y40T44;138921.0
2023;Y5T9;83132.0
2022;Y_GE95;7812.0
2015;Y60T64;118402.0
2017;Y20T39;736749.0
2019;_T;2165423.0
2020;Y15T19;111440.0
2015;Y_GE75;167641.0
2015;Y40T59;559300.0
2018;Y85T89;35224.0
2021;Y10T14;97099.0
2018;_T;2175601.0
2017;Y45T49;141227.0
2022;Y65T69;98708.0
2015;Y90T94;18206.0
2017;Y_GE75;168086.0
2015;Y35T39;159424.0
2014;Y50T54;135665.0
2015;Y65T69;110915.0
2020;Y5T9;95851.0
2024;Y35T39;149827.0
2018;Y80T84;47476.0
2014;Y75T79;59776.0
2019;Y15T19;107562.0
2020;_T;2145906.0
2014;Y55T59;124790.0
2019;Y35T39;156207.0
2024;Y15T19;110586.0
2018;Y_GE95;6256.0
2015;Y80T84;49436.0
2024;Y80T84;50612.0
2014;Y35T39;163186.0
2020;Y35T39;152548.0
2021;Y_GE75;175442.0
2018;Y40T44;143136.0
2022;Y25T29;200170.0
2023;Y55T59;125100.0
2018;Y65T69;108941.0
2021;Y15T19;112487.0
