,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
3863,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878349X,A,A,60.0,0.1,,2021-10-19
3864,"48.87558599992625,2.3929959687613938",197 Rue de Belleville 75019 Paris,2375N2839424Y,A,A,52.0,3.0,,2023-08-21
3865,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137653T,A,A,33.0,2.0,pompe à chaleur,2024-12-09
3866,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909654B,A,A,30.0,2.0,,2024-03-10
3867,"48.82741701985551,2.3308979564080134",7 Rue Couche 75014 Paris,2275N1071643I,C,C,60.0,12.0,,2022-04-13
3868,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0114421F,A,A,33.0,2.0,pompe à chaleur,2024-12-09
3869,"48.81781404188524,2.3579600659633777",11 Rue Paul Bourget 75013 Paris,2375N2726325Z,B,B,40.0,8.0,pompe à chaleur,2023-08-06
3870,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139108V,C,C,82.0,17.0,panneaux solaires photovoltaïques,2024-11-21
3871,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227703Q,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
3872,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344555L,B,B,28.0,8.4,chauffe-eau thermodynamique,2022-09-07
3873,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192414J,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
3874,"48.87723102638617,2.326822046984802",17 Rue d'Amsterdam 75008 Paris,2275N2543749U,C,C,38.9,12.4,chauffe-eau thermodynamique,2022-10-02
3875,"48.81781404188524,2.3579600659633777",11 Rue Paul Bourget 75013 Paris,2375N2724945X,B,B,34.0,7.0,pompe à chaleur,2023-08-06
3876,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1629942J,C,C,91.9,19.5,,2022-07-17
3877,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3285018E,B,B,53.7,8.8,réseau de chaleur ou de froid vertueux,2023-09-20
3878,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1479367B,C,C,54.0,11.0,,2023-04-24
3879,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909640N,B,A,44.0,3.0,,2024-03-10
3880,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709453Q,A,A,34.2,4.0,Il existe plusieurs descriptifs ENR,2024-10-21
3881,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136357W,B,B,27.0,6.9,,2022-09-07
3882,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0507681L,A,A,56.0,1.0,panneaux solaires thermiques,2021-10-03
3883,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192079M,A,A,17.6,1.2,pompe à chaleur,2022-05-30
3884,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041271S,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
3885,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166390X,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
3886,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246929Q,B,B,56.0,9.7,réseau de chaleur ou de froid vertueux,2022-09-28
3887,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227779O,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
3888,"48.88156501130075,2.3660130118381213",206 Rue la Fayette 75010 Paris,2475N3616059O,B,B,45.1,6.5,Il existe plusieurs descriptifs ENR,2024-09-23
3889,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130740W,C,C,51.0,11.0,,2024-12-10
3890,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125381S,A,A,11.1,3.4,,2022-09-07
3891,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139097K,C,C,84.0,17.0,panneaux solaires photovoltaïques,2024-11-21
3892,"48.867728026077394,2.4082000083083",45 Rue du Capitaine Ferber 75020 Paris,2375N2431489D,C,C,84.0,18.1,,2023-07-11
3893,"48.88156501130075,2.3660130118381213",206 Rue la Fayette 75010 Paris,2475N3616070Z,A,A,53.4,7.8,Il existe plusieurs descriptifs ENR,2024-09-23
3894,"48.8336770126128,2.4022919710703787",73 Boulevard Poniatowski 75012 Paris,2475N0194143K,A,A,38.2,5.6,pompe à chaleur,2024-01-09
3895,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222387I,A,A,30.5,2.0,Il existe plusieurs descriptifs ENR,2024-08-28
3896,"48.87117204390332,2.392724984204714",335 Rue des Pyrénées 75020 Paris,2475N1835217Q,B,B,50.0,8.0,pompe à chaleur,2023-12-04
3897,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227432F,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
3898,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0167675I,A,A,23.5,1.6,pompe à chaleur,2022-01-19
3899,"48.875535956163105,2.4112280670689787",Rue Paul Meurice 75020 Paris,2375N3010507B,A,A,59.0,1.0,Il existe plusieurs descriptifs ENR,2023-07-24
3900,"48.88783098977528,2.3865770061142113",8 Rue des Ardennes 75019 Paris,2375N1958773T,B,A,34.9,2.3,Il existe plusieurs descriptifs ENR,2022-11-17
