,_geopoint,adresse_ban,numero_dpe,etiquette_dpe,etiquette_ges,conso_5_usages_par_m2_ef,emission_ges_5_usages_par_m2,categorie_enr,date_visite_diagnostiqueur
0,"48.88783098977528,2.3865770061142113",8 Rue des Ardennes 75019 Paris,2375N1958716O,C,C,61.1,12.3,Il existe plusieurs descriptifs ENR,2022-11-17
1,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166221K,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
2,"48.83111701786987,2.3294309826496624",42 Avenue du Général Leclerc 75014 Paris,2275N1629968J,C,C,80.8,17.2,,2022-07-17
3,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137735X,A,A,33.0,2.0,pompe à chaleur,2024-12-09
4,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503783N,C,C,96.0,15.0,,2021-07-19
5,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041576L,C,C,53.5,19.7,,2022-09-07
6,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346180L,C,C,80.3,17.5,,2022-06-08
7,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346243W,C,C,73.1,15.9,,2022-06-08
8,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0500056E,B,A,57.0,1.0,panneaux solaires thermiques,2021-10-03
9,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345935A,C,C,89.8,19.7,,2022-06-08
10,"48.875269964692954,2.412533950131655",15 Rue des Frères Flavien 75020 Paris,2475N1160638H,A,A,52.4,1.7,Il existe plusieurs descriptifs ENR,2024-02-20
11,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N0597981Q,B,A,112.1,3.5,panneaux solaires photovoltaïques,2024-01-02
12,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041483W,C,C,53.5,19.7,,2022-09-07
13,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909416X,B,A,44.0,3.0,,2024-03-10
14,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3244995W,B,A,42.0,3.0,chauffe-eau thermodynamique,2024-09-17
15,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454798E,B,B,56.0,9.0,,2021-09-06
16,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0959593W,C,C,123.4,27.2,,2021-12-20
17,"48.854195991854645,2.3976770439833124",18 Rue de Terre Neuve 75020 Paris,2175N0574601H,C,C,108.0,23.0,,2021-10-25
18,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116749T,C,C,56.0,12.0,pompe à chaleur,2024-12-10
19,"48.83893598306376,2.3207939487829155",11 Rue du Commandant René Mouchotte 75014 Paris,2375N4437979V,B,B,49.0,8.0,,2023-12-13
20,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129508X,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
21,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2306773K,C,C,111.0,25.0,cogénération,2024-06-23
22,"48.87219797600731,2.383064023527347",18b Rue Jouye-Rouve 75020 Paris,2475N1425201U,C,C,78.1,17.2,,2024-04-17
23,"48.86842199243909,2.3562150553892174",65 Rue Meslay 75003 Paris,2375N3366108A,C,C,91.0,20.0,,2023-06-04
24,"48.837711963966576,2.2864859709866305",305 Rue Lecourbe 75015 Paris,2475N4532681G,B,B,32.9,6.6,,2024-12-19
25,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246021S,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
26,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347558L,C,C,87.9,19.3,,2022-06-08
27,"48.86156200370446,2.272223967306851",16 Rue Octave Feuillet 75016 Paris,2378N1042723E,C,C,84.0,18.0,,2023-03-15
28,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130730M,B,B,48.0,10.0,,2024-12-10
29,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2153152V,B,B,34.3,10.6,,2022-09-07
30,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501268K,A,A,66.0,4.0,réseau de chaleur ou de froid vertueux,2023-05-03
31,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3244992T,C,A,49.0,3.0,chauffe-eau thermodynamique,2024-09-17
32,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0936371N,B,B,52.0,8.0,,2021-10-19
33,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0937490O,B,B,54.0,8.0,,2021-10-19
34,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380804P,B,A,69.0,2.0,,2022-02-23
35,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146139D,C,C,55.0,12.0,panneaux solaires photovoltaïques,2024-12-10
36,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1348128L,B,A,75.0,4.0,,2024-04-09
37,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1348118B,B,A,67.0,4.0,,2024-04-09
38,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129152F,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
39,"48.83511696162225,2.395558055812113",41 Rue des Meuniers 75012 Paris,2375N0258127H,A,A,53.0,3.0,,2023-01-17
40,"48.875528016770936,2.394047978343679",207 Rue de Belleville 75019 Paris,2475N0282439K,B,A,55.0,1.0,,2024-01-24
41,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346101K,C,C,90.1,19.8,,2022-06-08
42,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0507626I,A,A,56.0,1.0,panneaux solaires thermiques,2021-10-03
43,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878336K,A,A,50.0,0.1,,2021-10-19
44,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N1013823O,A,A,56.9,2.3,Il existe plusieurs descriptifs ENR,2024-01-02
45,"48.875331001376864,2.4125099473207445",17 Rue des Frères Flavien 75020 Paris,2475N1160620P,A,A,59.8,1.9,Il existe plusieurs descriptifs ENR,2024-02-20
46,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041649G,C,C,53.5,19.7,,2022-09-07
47,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129326X,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
48,"48.88725301295351,2.3598990164787814",40 Rue Marx Dormoy 75018 Paris,2375N1756721N,B,B,43.3,7.7,,2023-04-16
49,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192451U,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
50,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380684Z,B,A,67.0,2.0,,2022-02-23
51,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1128949K,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
52,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1346233M,C,C,104.3,23.0,,2022-06-08
53,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501265H,A,A,53.0,3.0,réseau de chaleur ou de froid vertueux,2023-05-03
54,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158258F,B,B,34.9,10.6,,2022-09-07
55,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0093018Z,A,A,13.4,2.9,panneaux solaires photovoltaïques,2024-01-08
56,"48.87550495652317,2.412459992853479",21 Rue des Frères Flavien 75020 Paris,2475N1855441M,A,A,63.5,2.0,Il existe plusieurs descriptifs ENR,2024-02-20
57,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909664L,A,A,32.0,2.0,,2024-03-10
58,"48.81781404188524,2.3579600659633777",11 Rue Paul Bourget 75013 Paris,2375N2726700K,B,B,32.0,6.0,pompe à chaleur,2023-08-06
59,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129188P,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
60,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488366R,C,C,66.9,14.1,pompe à chaleur,2022-10-12
61,"48.8517710087486,2.4073170254996294",93 Rue des Grands Champs 75020 Paris,2275N0818309S,C,C,75.1,16.3,,2022-04-18
62,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347535O,C,C,72.7,15.8,,2022-06-08
63,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2247180H,B,B,56.0,9.7,réseau de chaleur ou de froid vertueux,2022-09-28
64,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158362F,B,B,27.0,7.5,,2022-09-07
65,"48.875331001376864,2.4125099473207445",17 Rue des Frères Flavien 75020 Paris,2475N1160597S,B,A,65.8,2.1,Il existe plusieurs descriptifs ENR,2024-02-20
66,"48.8585239955236,2.3766359413420637",28b Rue Popincourt 75011 Paris,2275N1600658B,C,C,89.1,19.6,,2022-07-06
67,"48.834720974155324,2.3197299611790845",53b Rue Raymond Losserand 75014 Paris,2175N0520550K,C,C,72.0,15.0,,2021-10-11
68,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116863D,C,C,51.0,11.0,pompe à chaleur,2024-12-10
69,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0499995V,A,A,58.0,1.0,panneaux solaires thermiques,2021-10-03
70,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041608R,C,C,53.5,19.7,,2022-09-07
71,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0130707P,C,C,51.0,11.0,,2024-12-10
72,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137561F,A,A,33.0,2.0,pompe à chaleur,2024-12-09
73,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166195K,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
74,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909439U,B,A,43.0,3.0,,2024-03-10
75,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709726D,A,A,37.7,4.5,Il existe plusieurs descriptifs ENR,2024-10-21
76,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041559U,C,C,53.5,19.7,,2022-09-07
77,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347643S,C,C,67.0,14.5,,2022-06-08
78,"48.82899795943467,2.3078750409538005",196 Rue Raymond Losserand 75014 Paris,2175N0985175P,C,C,86.2,18.5,,2021-12-20
79,"48.889800968199694,2.3473849679796475",8 Passage Ramey 75018 Paris,2475N2215311Q,A,A,23.0,1.0,pompe à chaleur,2024-06-10
80,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0092985S,A,A,14.2,3.1,panneaux solaires photovoltaïques,2024-01-08
81,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137804O,A,A,32.0,2.0,pompe à chaleur,2024-12-09
82,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345943I,C,C,89.4,19.6,,2022-06-08
83,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227869A,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
84,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2247255E,B,B,56.0,9.7,réseau de chaleur ou de froid vertueux,2022-09-28
85,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158499M,B,B,31.0,8.8,,2022-09-07
86,"48.88940299732564,2.3219860503476637",105 Avenue de Clichy 75017 Paris,2275N0196177O,C,C,81.0,17.0,,2022-01-31
87,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488276F,C,C,66.9,14.1,pompe à chaleur,2022-10-12
88,"48.87729696981514,2.3268259668053877",17b Rue d'Amsterdam 75008 Paris,2275N2629799K,C,C,38.8,12.4,chauffe-eau thermodynamique,2022-10-02
89,"48.825855989705424,2.352999054962969",175b Rue de Tolbiac 75013 Paris,2275N2645869M,C,C,56.0,11.0,pompe à chaleur,2022-10-17
90,"48.83387096701638,2.3077679701104974",52 Rue de Vouillé 75015 Paris,2175N0727251L,C,C,57.3,12.4,,2021-10-17
91,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137753P,A,A,33.0,2.0,pompe à chaleur,2024-12-09
92,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0507686Q,A,A,59.0,1.0,panneaux solaires thermiques,2021-10-03
93,"48.875535956163105,2.4112280670689787",Rue Paul Meurice 75020 Paris,2375N3010505Z,B,A,76.0,2.0,Il existe plusieurs descriptifs ENR,2023-07-24
94,"48.89484499463178,2.34364894149164",16 Rue Versigny 75018 Paris,2475N3244974B,C,A,70.0,5.0,chauffe-eau thermodynamique,2024-09-17
95,"48.8336770126128,2.4022919710703787",73 Boulevard Poniatowski 75012 Paris,2475N1134761A,C,C,66.9,12.5,chauffe-eau thermodynamique,2024-01-09
96,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0503816U,B,B,67.0,10.0,,2021-07-19
97,"48.86976504350663,2.405120008985746",11 Rue Haxo 75020 Paris,2375N3647176I,C,C,102.0,22.0,,2023-08-21
98,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222385G,A,A,30.7,2.0,Il existe plusieurs descriptifs ENR,2024-08-28
99,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878298Y,A,A,67.0,0.1,,2021-10-19
100,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1128805W,A,A,28.5,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
101,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227379E,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
102,"48.875420007690586,2.412486037976819",19 Rue des Frères Flavien 75020 Paris,2275N3239739Q,B,A,67.3,2.1,Il existe plusieurs descriptifs ENR,2022-10-25
103,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166246J,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
104,"48.89535897420391,2.3585060634025963",59b Rue de la Chapelle 75018 Paris,2275N2041331A,C,C,56.0,20.6,Il existe plusieurs descriptifs ENR,2022-09-07
105,"48.85239896204333,2.406632973408817",Rue des Maraîchers 75020 Paris,2275N3240534F,C,C,62.1,13.6,,2022-11-30
106,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129211M,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
107,"48.89093695608735,2.3274999681367423",21 Rue Etex 75018 Paris,2175N0607277B,C,C,62.1,13.6,,2021-10-21
108,"48.875420007690586,2.412486037976819",19 Rue des Frères Flavien 75020 Paris,2475N1855518L,A,A,56.3,1.8,Il existe plusieurs descriptifs ENR,2024-02-20
109,"48.846810958508954,2.3807470098812527",47 Boulevard Diderot 75012 Paris,2180N0940766T,C,C,133.1,29.6,,2021-12-16
110,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116705B,C,C,55.0,12.0,pompe à chaleur,2024-12-10
111,"48.83932598226895,2.3185700610026854",Allée de la Deuxième D.b. 75014 Paris,2175N0520819T,C,C,91.0,20.0,,2021-10-11
112,"48.8271690062542,2.3788539909118573",8 Rue Jeanne Chauvin 75013 Paris,2375N3285187R,B,B,54.4,8.9,réseau de chaleur ou de froid vertueux,2023-09-20
113,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1228019U,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
114,"48.84272899031486,2.2603320478138773",69 Boulevard Exelmans 75016 Paris,2275N2488357I,C,C,66.9,14.1,pompe à chaleur,2022-10-12
115,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136604J,B,B,32.8,9.7,,2022-09-07
116,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192217U,A,A,17.6,1.2,pompe à chaleur,2022-05-30
117,"48.87379800707683,2.3594740283438753",10 Passage Dubail 75010 Paris,2475N4139063C,C,C,81.0,17.0,panneaux solaires photovoltaïques,2024-11-21
118,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2245985I,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
119,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136531O,B,B,28.3,8.2,,2022-09-07
120,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136498H,B,B,28.3,8.1,,2022-09-07
121,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380746J,B,A,79.0,3.0,,2022-02-23
122,"48.82854301667141,2.310733944724113",3 Rue Maria Helena Vieira Da Silva 75014 Paris,2275N2989254P,A,A,19.0,1.7,pompe à chaleur,2022-12-07
123,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347655E,C,C,100.1,22.0,,2022-06-08
124,"48.87021303208189,2.4042760664362475",30 Rue du Groupe Manouchian 75020 Paris,2275N3219439W,C,C,81.4,17.7,,2022-09-21
125,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158422N,B,B,26.1,6.8,,2022-09-07
126,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2375N0344311B,A,A,20.3,5.7,chauffe-eau thermodynamique,2022-09-07
127,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222462F,A,A,32.4,2.1,Il existe plusieurs descriptifs ENR,2024-08-28
128,"48.877132028422274,2.3639110604720965",1 Rue Robert Blache 75010 Paris,2475N1690706N,C,C,75.0,16.0,,2021-12-22
129,"48.87723102638617,2.326822046984802",17 Rue d'Amsterdam 75008 Paris,2275N2543728Z,C,C,46.2,15.2,chauffe-eau thermodynamique,2022-10-02
130,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454911N,B,B,55.0,8.0,,2021-09-06
131,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158272T,B,B,27.5,7.7,,2022-09-07
132,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227663C,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
133,"48.84531302111458,2.3952040659586826",32 Rue de Picpus 75012 Paris,2375N1880088K,B,A,37.0,2.0,chauffage au bois,2023-04-04
134,"48.87854000714144,2.400396973926357",40 Rue des Bois 75019 Paris,2375N1233803H,C,C,83.9,18.4,,2023-04-05
135,"48.88156501130075,2.3660130118381213",206 Rue la Fayette 75010 Paris,2475N3616006N,B,B,43.4,6.2,Il existe plusieurs descriptifs ENR,2024-09-23
136,"48.88637301498167,2.3919029500247397",93 Rue Petit 75019 Paris,2275N2246243G,B,B,56.2,9.6,réseau de chaleur ou de froid vertueux,2022-09-28
137,"48.87503796991122,2.4119910682573873",3 Rue Bessie Coleman 75020 Paris,2475N1014600L,B,A,84.5,3.4,chauffage au bois,2024-01-02
138,"48.890493956627765,2.360227949980703",4 Rue de la Chapelle 75018 Paris,2475N3709500L,A,A,34.3,4.0,Il existe plusieurs descriptifs ENR,2024-10-21
139,"48.82583401702859,2.3831709354791166",46 Rue Jean-Baptiste Berlier 75013 Paris,2375N1501238G,A,A,52.0,3.0,réseau de chaleur ou de froid vertueux,2023-05-03
140,"48.892618003061735,2.3738100191669687",4b Passage de Crimée 75019 Paris,2375N0707891X,B,B,68.0,8.0,,2023-02-21
141,"48.851790986940955,2.2616369640623044",Impasse Léa Blain 75016 Paris,2429N2580196X,A,A,18.8,1.3,pompe à chaleur,2024-07-08
142,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347527G,C,C,93.6,20.6,,2022-06-08
143,"48.84296700742873,2.2812759918113614",31 Rue des Bergers 75015 Paris,2475N1348091A,B,A,65.0,4.0,,2024-04-09
144,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0092968B,A,A,14.2,3.1,panneaux solaires photovoltaïques,2024-01-08
145,"48.89858400408262,2.3545200491784364",Boulevard Ney 75018 Paris,2375N3454839T,B,B,53.0,8.0,,2021-09-06
146,"48.81781404188524,2.3579600659633777",11 Rue Paul Bourget 75013 Paris,2375N2725341D,B,B,35.0,7.0,pompe à chaleur,2023-08-06
147,"48.87558599992625,2.3929959687613938",197 Rue de Belleville 75019 Paris,2375N4333656K,B,A,59.0,3.0,,2023-12-13
148,"48.82854301667141,2.310733944724113",3 Rue Maria Helena Vieira Da Silva 75014 Paris,2275N2989259U,A,A,16.1,1.7,pompe à chaleur,2022-12-07
149,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1347435S,C,C,90.1,19.8,,2022-06-08
150,"48.827243015393414,2.3787829578968585",10 Rue Jeanne Chauvin 75013 Paris,2375N3285255H,B,B,54.3,8.9,réseau de chaleur ou de froid vertueux,2023-09-20
151,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192143Y,A,A,17.6,1.2,pompe à chaleur,2022-05-30
152,"48.836651033793174,2.2930699414075817",37 Rue Saint-Lambert 75015 Paris,2175N0512297Z,C,C,83.0,13.0,,2021-07-19
153,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1129263M,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
154,"48.84995400321463,2.311448012963403",48 Avenue de Breteuil 75007 Paris,2175N0396097T,B,A,64.0,0.1,,2021-09-22
155,"48.87221696206704,2.3905800013095666",58 Rue des Cascades 75020 Paris,2375N1479337X,C,C,72.0,16.0,,2023-04-24
156,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136602H,B,B,32.2,9.4,,2022-09-07
157,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0116740K,B,B,48.0,10.0,pompe à chaleur,2024-12-10
158,"48.816886994730005,2.3589389686490447",16 Rue Germaine Krull 75013 Paris,2575N0137706U,A,A,33.0,2.0,pompe à chaleur,2024-12-09
159,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2158589Y,B,B,30.3,8.6,,2022-09-07
160,"48.875269964692954,2.412533950131655",15 Rue des Frères Flavien 75020 Paris,2475N1160634D,B,A,78.4,2.4,Il existe plusieurs descriptifs ENR,2024-02-20
161,"48.81720697470296,2.3591029571998248",8 Rue Germaine Krull 75013 Paris,2575N0146174M,C,C,63.0,14.0,panneaux solaires photovoltaïques,2024-12-10
162,"48.81777103344485,2.3577390118601893",Rue Paul Bourget 75013 Paris,2475N2306830P,C,C,122.0,27.0,cogénération,2024-06-23
163,"48.89360497196748,2.349261067593661",120 Rue de Clignancourt 75018 Paris,2475N0092965Y,A,A,13.3,2.9,panneaux solaires photovoltaïques,2024-01-08
164,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222437G,B,A,51.8,3.6,Il existe plusieurs descriptifs ENR,2024-08-28
165,"48.81781404188524,2.3579600659633777",11 Rue Paul Bourget 75013 Paris,2375N2724020I,B,B,39.0,8.0,pompe à chaleur,2023-08-06
166,"48.87856898447146,2.374768952291984",33 Avenue Mathurin Moreau 75019 Paris,2275N2637564B,C,C,71.1,15.7,,2022-10-09
167,"48.89528002621552,2.346351023926362",43 Boulevard Ornano 75018 Paris,2175N0414073D,C,C,56.1,12.4,,2021-09-28
168,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192509A,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
169,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1192455Y,A,A,18.4,1.3,Il existe plusieurs descriptifs ENR,2022-05-30
170,"48.89428096187521,2.3581539525834145",Rue de la Chapelle 75018 Paris,2275N0380631Y,B,A,74.0,3.0,,2022-02-23
171,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909488R,B,A,43.0,3.0,,2024-03-10
172,"48.89237302794069,2.3526859979856845",1 Allée d'Andrézieux 75018 Paris,2475N3222490H,A,A,33.7,2.2,Il existe plusieurs descriptifs ENR,2024-08-28
173,"48.895067036589474,2.3375080036996607",122 Rue Damrémont 75018 Paris,2275N0166144L,C,C,58.8,12.9,panneaux solaires photovoltaïques,2022-01-19
174,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345732F,C,C,89.5,19.6,,2022-06-08
175,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2136247Q,B,B,33.3,9.9,,2022-09-07
176,"48.89432196619741,2.31772997349172",31 Rue Boulay 75017 Paris,2475N2312735S,A,A,51.0,3.0,,2024-05-15
177,"48.89187096568627,2.369838056749515",Rue d'Aubervilliers 75019 Paris,2275N1227448V,A,A,21.4,1.5,Il existe plusieurs descriptifs ENR,2022-06-02
178,"48.83834795814197,2.371533980234012",Rue Fulton 75013 Paris,2275N2125522D,A,A,12.5,3.9,,2022-09-07
179,"48.84643202413541,2.405943002097207",81 Avenue du Docteur Arnold Netter 75012 Paris,2375N4121192S,B,B,57.3,9.5,réseau de chaleur ou de froid vertueux,2023-11-20
180,"48.89678301934797,2.372899933316069",16 Voie Eu/19 75019 Paris,2275N1128996F,A,A,28.9,2.1,Il existe plusieurs descriptifs ENR,2022-05-22
181,"48.87246395650188,2.391029059009897",357 Rue des Pyrénées 75020 Paris,2475N0909576B,A,A,30.0,2.0,,2024-03-10
182,"48.88613797486515,2.3828069555163283",Avenue Jean Jaurès 75019 Paris,2175N0937852M,B,B,48.0,7.0,,2021-10-19
183,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345877U,C,C,72.5,15.8,,2022-06-08
184,"48.833425008870904,2.363607939361549",Rue Jeanne dâ€™Arc 75013 Paris,2175N0878392O,A,A,53.0,0.1,,2021-10-19
185,"48.89502602383224,2.371699011130133",182 Rue d'Aubervilliers 75019 Paris,2275N1345778Z,C,C,96.5,21.2,,2022-06-08
186,"48.89432196619741,2.31772997349172",31 Rue Boulay 75017 Paris,2475N2312740X,A,A,54.0,3.0,,2024-05-15
